date,case,event_count,fatalities,source
2022-01-01,Ukraine,41,31,SYNTHETIC_DEMO
2022-02-01,Ukraine,78,173,SYNTHETIC_DEMO
2022-03-01,Ukraine,74,97,SYNTHETIC_DEMO
2022-04-01,Ukraine,55,209,SYNTHETIC_DEMO
2022-05-01,Ukraine,49,244,SYNTHETIC_DEMO
2022-06-01,Ukraine,23,74,SYNTHETIC_DEMO
2022-07-01,Ukraine,10,73,SYNTHETIC_DEMO
2022-08-01,Ukraine,96,20,SYNTHETIC_DEMO
2022-09-01,Ukraine,49,236,SYNTHETIC_DEMO
2022-10-01,Ukraine,61,167,SYNTHETIC_DEMO
2022-11-01,Ukraine,37,191,SYNTHETIC_DEMO
2022-12-01,Ukraine,66,54,SYNTHETIC_DEMO
2023-01-01,Ukraine,30,211,SYNTHETIC_DEMO
2023-02-01,Ukraine,73,69,SYNTHETIC_DEMO
2023-03-01,Ukraine,76,178,SYNTHETIC_DEMO
2023-04-01,Ukraine,39,35,SYNTHETIC_DEMO
2023-05-01,Ukraine,18,157,SYNTHETIC_DEMO
2023-06-01,Ukraine,99,150,SYNTHETIC_DEMO
2023-07-01,Ukraine,35,62,SYNTHETIC_DEMO
2023-08-01,Ukraine,11,171,SYNTHETIC_DEMO
2023-09-01,Ukraine,72,57,SYNTHETIC_DEMO
2023-10-01,Ukraine,86,59,SYNTHETIC_DEMO
2023-11-01,Ukraine,11,25,SYNTHETIC_DEMO
2023-12-01,Ukraine,57,84,SYNTHETIC_DEMO
2024-01-01,Ukraine,96,120,SYNTHETIC_DEMO
2024-02-01,Ukraine,17,174,SYNTHETIC_DEMO
2024-03-01,Ukraine,22,1,SYNTHETIC_DEMO
2024-04-01,Ukraine,75,250,SYNTHETIC_DEMO
2024-05-01,Ukraine,25,104,SYNTHETIC_DEMO
2024-06-01,Ukraine,88,239,SYNTHETIC_DEMO
2024-07-01,Ukraine,65,122,SYNTHETIC_DEMO
2024-08-01,Ukraine,88,51,SYNTHETIC_DEMO
2024-09-01,Ukraine,41,82,SYNTHETIC_DEMO
2024-10-01,Ukraine,41,165,SYNTHETIC_DEMO
2024-11-01,Ukraine,12,232,SYNTHETIC_DEMO
2024-12-01,Ukraine,16,166,SYNTHETIC_DEMO
2025-01-01,Ukraine,78,59,SYNTHETIC_DEMO
2025-02-01,Ukraine,73,189,SYNTHETIC_DEMO
2025-03-01,Ukraine,97,217,SYNTHETIC_DEMO
2025-04-01,Ukraine,9,233,SYNTHETIC_DEMO
2025-05-01,Ukraine,27,106,SYNTHETIC_DEMO
2025-06-01,Ukraine,27,239,SYNTHETIC_DEMO
2025-07-01,Ukraine,9,214,SYNTHETIC_DEMO
2025-08-01,Ukraine,55,201,SYNTHETIC_DEMO
2025-09-01,Ukraine,68,47,SYNTHETIC_DEMO
2025-10-01,Ukraine,100,246,SYNTHETIC_DEMO
2025-11-01,Ukraine,42,224,SYNTHETIC_DEMO
2025-12-01,Ukraine,9,2,SYNTHETIC_DEMO
2022-01-01,Rohingya,43,145,SYNTHETIC_DEMO
2022-02-01,Rohingya,82,27,SYNTHETIC_DEMO
