year,case,refugees,displaced,source
2022,Ukraine,758699,1449116,SYNTHETIC_DEMO
2023,Ukraine,892690,654407,SYNTHETIC_DEMO
2024,Ukraine,689711,1115399,SYNTHETIC_DEMO
2025,Ukraine,251603,616988,SYNTHETIC_DEMO
2022,Rohingya,342559,1270392,SYNTHETIC_DEMO
2023,Rohingya,362999,571580,SYNTHETIC_DEMO
2024,Rohingya,362071,706085,SYNTHETIC_DEMO
2025,Rohingya,789142,534693,SYNTHETIC_DEMO
2022,MiddleEast,773769,1125513,SYNTHETIC_DEMO
2023,MiddleEast,382441,1106220,SYNTHETIC_DEMO
2024,MiddleEast,415746,1275427,SYNTHETIC_DEMO
2025,MiddleEast,884042,673482,SYNTHETIC_DEMO
